description,location,start_time,name,start_order,result_order,nat,shooting,total,total_time
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,DAVIDOVA Marketa,11,14,CZE,0+1+4+3,8,36:03.9
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,ANDERSEN Aleksander Fjeld,28,15,NOR,2+0+2+0,4,36:58.5
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,EDER Simon,28,4,AUT,0+0 0+0,0+0,17:32.1
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,GUIGONNAT Antonin,13,21,FRA,1+2+0+2,5,30:08.8
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,REES Roman,29,23,GER,0+1+2+1,4,38:05.4
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,LUNDER Emma,39,6,CAN,0+0 0+1,0+1,28:15.0
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,LEITNER Felix,29,7,AUT,0+2 0+2,0+4,58:32.3
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,RAENKEL Raido,81,91,EST,1+4,5,28:30.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,HETTICH Janina,78,39,GER,0+1,1,23:07.3
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,KOMATZ David,45,42,AUT,0+0+1+2,3,35:43.2
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,GASPARIN Elisa,7,10,SUI,0+0 2+3,2+3,19:44.0
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,LABASTAU Mikita,37,11,BLR,0+0 0+0,0+0,18:56.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,LEHTONEN Venla,88,79,FIN,0+2+0+2,4,51:12.7
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,TRSAN Rok,43,69,SLO,1+0+1+1,3,55:58.7
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,ROEISELAND Marte Olsbu,53,6,NOR,1+0,1,19:02.8
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,ROEISELAND Marte Olsbu,3,1,NOR,0+1 0+0,0+1,32:01.1
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,ALIMBEKAVA Dzinara,6,2,BLR,0+0+0+0,0,27:48.2
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,DALE Johannes,42,8,NOR,1+1,2,23:17.8
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,PIDRUCHNYI Dmytro,34,13,UKR,0+0+1+2,3,34:32.6
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,KUKLINA Larisa,29,10,RUS,0+1+3+1,5,35:08.3
Women 12.5km Mass Start,Arena am Rennsteig,2021-01-17T14:00:00Z,EGAN Clare,19,28,USA,1+3+0+0,4,43:05.5
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,TODOROVA Milena,28,15,BUL,1+2+1+2,6,36:05.1
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,REES Roman,27,16,GER,0+0+1+1,2,37:03.9
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,HAUSER Lisa Theresa,29,4,AUT,0+2 0+1,0+3,26:54.7
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,RASTORGUJEVS Andrejs,17,22,LAT,1+1+1+2,5,30:10.3
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,LESSER Erik,14,24,GER,1+1+2+0,4,38:18.1
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,GOW Christian,40,6,CAN,0+0 0+2,0+2,40:22.4
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,EBERHARD Julian,30,7,AUT,1+3 0+3,1+6,1:18:27.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BURNOTTE Jules,58,92,CAN,0+4,4,28:34.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,PERSSON Linn,47,40,SWE,0+3,3,23:09.9
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,BAUER Klemen,24,43,SLO,1+1+1+3,6,35:46.0
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,GASPARIN Selina,8,10,SUI,0+0 1+3,1+3,39:06.6
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,BOCHARNIKOV Sergey,38,11,BLR,0+1 1+3,1+4,38:53.9
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,MOSER Nadia,81,80,CAN,1+1+0+2,4,51:15.4
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,PERRILLAT BOTTONET Martin,94,70,FRA,1+1+0+0,2,56:07.8
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,HAECKI Lena,4,7,SUI,0+0,0,19:05.9
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,BOE Tarjei,4,1,NOR,0+0 0+2,0+2,46:42.6
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,FILLON MAILLET Quentin,1,1,FRA,1+1+0+0,2,28:46.7
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,PREUSS Franziska,4,3,GER,0+1+0+1,2,27:53.8
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,ILIEV Vladimir,11,9,BUL,1+0,1,23:22.2
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,JACQUELIN Emilien,24,14,FRA,0+0+2+3,5,34:41.7
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,HAECKI Lena,7,11,SUI,0+3+2+2,7,35:21.0
Women 12.5km Mass Start,Arena am Rennsteig,2021-01-17T14:00:00Z,HAMMERSCHMIDT Maren,27,29,GER,0+1+2+1,4,43:27.1
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,HINZ Vanessa,24,16,GER,0+3+1+2,6,36:11.5
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,ELISEEV Matvey,18,17,RUS,1+2+0+0,3,37:13.5
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,EDER Simon,30,4,AUT,0+1 0+2,0+3,38:22.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,LATYPOV Eduard,10,23,RUS,1+0+2+1,4,30:12.5
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,DUDCHENKO Anton,26,25,UKR,1+0+1+1,3,38:29.6
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,ITALY,56,7,ITA,0+6 0+4,0+10,40:41.1
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,ITALY,21,8,ITA,0+3 1+7,1+10,1:18:35.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,JAKOB Patrick,94,93,AUT,2+2,4,28:50.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,TOMINGAS Tuuli,28,41,EST,0+2,2,23:11.3
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,LANGER Thierry,32,44,BEL,3+0+1+1,5,35:51.0
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,GASPARIN Aita,9,10,SUI,0+0 0+1,0+1,57:54.1
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,VARABEI Maksim,39,11,BLR,0+1 1+3,1+4,59:36.0
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KLEMENCIC Polona,53,81,SLO,3+0+0+1,4,51:17.4
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,BRAUNHOFER Patrick,80,71,ITA,0+1+1+1,3,56:26.5
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,TODOROVA Milena,18,8,BUL,0+0,0,19:06.9
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,BOE Johannes Thingnes,5,1,NOR,0+1 0+0,0+1,1:01:24.1
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,BOE Johannes Thingnes,9,2,NOR,1+0+0+1,2,28:54.7
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,ECKHOFF Tiril,30,1,NOR,0+1,1,18:11.1
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,ROEISELAND Marte Olsbu,14,4,NOR,1+0+0+0,1,27:55.2
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,REES Roman,37,10,GER,0+0,0,23:24.7
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,LOGINOV Alexander,26,15,RUS,1+0+1+2,4,34:44.7
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,HETTICH Janina,17,12,GER,0+1+3+1,5,35:22.4
Women 12.5km Mass Start,Arena am Rennsteig,2021-01-17T14:00:00Z,CHEVALIER-BOUCHET Anais,10,30,FRA,2+5+1+2,10,46:13.9
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,BRAISAZ-BOUCHET Justine,15,17,FRA,3+3+2+1,9,36:14.3
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,HOFER Lukas,8,18,ITA,2+0+2+2,6,37:15.9
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,RUSSIA,46,5,RUS,0+0 0+7,0+7,38:52.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,ELISEEV Matvey,34,24,RUS,1+1+0+0,2,30:14.6
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,FINELLO Jeremy,30,26,SUI,1+2+3+1,7,38:34.9
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,WIERER Dorothea,57,7,ITA,0+0 0+1,0+1,9:44.3
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,BIONAZ Didier,22,8,ITA,0+1 1+3,1+4,20:17.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,ORYASHKOV Vladimir,77,94,BUL,2+1,3,28:53.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,COLOMBO Caroline,74,42,FRA,1+1,2,23:11.5
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,GOW Scott,52,45,CAN,3+0+0+1,4,36:01.2
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,HAECKI Lena,10,10,SUI,0+2 0+1,0+3,1:16:13.7
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,SMOLSKI Anton,40,11,BLR,1+3 0+0,1+3,1:19:38.1
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,VOBORNIKOVA Tereza,95,82,CZE,1+0+1+0,2,51:17.7
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,CLAUDE Fabien,46,72,FRA,2+1+2+2,7,56:31.2
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,LIEN Ida,48,9,NOR,0+0,0,19:10.2
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,ITALY,36,2,ITA,0+5 0+5,0+10,1:02:32.8
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,JACQUELIN Emilien,4,3,FRA,0+0+1+0,1,29:01.3
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,HERRMANN Denise,1,2,GER,0+0,0,18:17.2
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,WIERER Dorothea,3,5,ITA,0+1+0+1,2,27:59.6
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,GARANICHEV Evgeniy,71,11,RUS,0+0,0,23:28.9
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,FAK Jakov,32,16,SLO,1+1+0+1,3,34:48.0
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,KNOTTEN Karoline Offigstad,54,13,NOR,2+1+0+1,4,35:32.6
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,OEBERG Elvira,12,18,SWE,3+2+2+2,9,36:14.5
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,SMOLSKI Anton,25,19,BLR,1+2+1+0,4,37:16.0
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,KUKLINA Larisa,47,5,RUS,0+0 0+2,0+2,9:27.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,TYSHCHENKO Artem,35,25,UKR,0+0+0+0,0,30:15.6
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,GUIGONNAT Antonin,21,27,FRA,2+0+0+5,7,38:39.7
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,HOFER Lukas,58,7,ITA,0+2 0+1,0+3,18:18.8
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,HOFER Lukas,23,8,ITA,0+0 0+2,0+2,38:59.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,SZCZUREK Lukasz,87,95,POL,1+2,3,29:05.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,HAUSER Lisa Theresa,34,43,AUT,1+2,3,23:12.7
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,RUNNALLS Adam,53,46,CAN,1+0+2+1,4,36:08.9
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,CZECH REPUBLIC,36,11,CZE,0+4 7+10,7+14,1:16:47.3
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,SLOVENIA,26,12,SLO,0+5 1+6,1+11,1:19:59.1
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,LEHTLA Kadri,90,83,EST,1+1+1+1,4,51:21.4
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,PIDRUCHNYI Dmytro,2,73,UKR,1+2+0+2,5,56:53.3
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,FIALKOVA Paulina,25,10,SVK,1+0,1,19:10.6
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,VITTOZZI Lisa,37,2,ITA,0+2 0+2,0+4,16:03.9
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,FILLON MAILLET Quentin,19,1,FRA,0+0,0,22:07.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,LAEGREID Sturla Holm,5,4,NOR,0+0+1+1,2,29:04.8
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,WIERER Dorothea,6,3,ITA,0+0,0,18:21.6
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,DAVIDOVA Marketa,11,6,CZE,1+0+0+0,1,28:06.2
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,CHRISTIANSEN Vetle Sjaastad,60,12,NOR,1+0,1,23:31.6
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,CLAUDE Fabien,47,17,FRA,0+1+1+1,3,34:49.0
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,ZDOUC Dunja,46,14,AUT,1+1+2+1,5,35:32.6
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,PERSSON Linn,14,19,SWE,3+0+0+3,6,36:15.1
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,WEGER Benjamin,20,20,SUI,0+0+2+2,4,37:25.2
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,ELISEEV Matvey,48,5,RUS,0+0 0+2,0+2,17:53.9
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,WEGER Benjamin,36,26,SUI,0+0+2+0,2,30:16.1
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,ELISEEV Matvey,20,28,RUS,1+0+1+1,3,39:02.1
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,WIERER Dorothea,59,7,ITA,0+2 0+0,0+2,28:34.5
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,BORMOLINI Thomas,24,8,ITA,0+2 0+0,0+2,58:54.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,MATJUHINS Kirils,73,96,LAT,2+1,3,29:16.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,PAVLOVA Evgeniya,19,44,RUS,2+1,3,23:13.1
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,GUZIK Grzegorz,50,47,POL,0+1+3+1,5,36:10.1
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,JISLOVA Jessica,37,11,CZE,0+0 0+1,0+1,18:03.3
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,DOVZAN Miha,27,12,SLO,0+1 0+1,0+2,19:52.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,VITTOZZI Lisa,9,84,ITA,4+1+0+1,6,51:43.7
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,FRATZSCHER Lucas,86,74,GER,2+0+1+2,5,56:54.5
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,ALIMBEKAVA Dzinara,3,11,BLR,0+1,1,19:11.2
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,WIERER Dorothea,38,2,ITA,0+1 0+1,0+2,32:51.3
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,BOE Tarjei,2,2,NOR,0+0,0,22:18.5
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,HOFER Lukas,3,5,ITA,0+0+1+1,2,29:10.1
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,PREUSS Franziska,15,4,GER,0+1,1,18:28.4
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,HAUSER Lisa Theresa,13,7,AUT,0+0+1+1,2,28:15.4
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,EDER Simon,25,13,AUT,0+0,0,23:32.1
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,LATYPOV Eduard,23,18,RUS,0+2+2+1,5,34:58.7
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,TODOROVA Milena,8,15,BUL,3+0+0+2,5,35:36.0
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,VITTOZZI Lisa,17,20,ITA,3+1+0+2,6,36:20.8
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,GARANICHEV Evgeniy,26,21,RUS,0+0+3+1,4,37:25.4
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,KUKLINA Larisa,49,5,RUS,0+0 0+1,0+1,27:27.6
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,DOHERTY Sean,29,27,USA,0+1+1+0,2,30:17.2
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,LEITNER Felix,24,29,AUT,3+0+2+0,5,39:09.6
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,HOFER Lukas,60,7,ITA,0+2 0+2,0+4,40:41.1
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,WINDISCH Dominik,25,8,ITA,0+0 0+2,0+2,1:18:35.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BARTKO Simon,84,97,SVK,3+3,6,29:17.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,SOLA Hanna,16,45,BLR,1+3,4,23:13.5
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,FINELLO Jeremy,23,48,SUI,2+0+3+3,8,36:11.6
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,CHARVATOVA Lucie,38,11,CZE,0+3 4+3,4+6,38:35.6
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,FAK Jakov,28,12,SLO,0+0 0+1,0+1,38:52.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,GONTIER Nicole,2,85,ITA,1+1+2+1,5,51:48.8
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,FEMLING Peppe,57,75,SWE,0+2+1+2,5,56:59.4
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,CHEVALIER Chloe,74,12,FRA,0+0,0,19:11.3
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,WINDISCH Dominik,39,2,ITA,0+2 0+1,0+3,47:56.9
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,ECKHOFF Tiril,1,1,NOR,0+0+1+2,3,27:28.0
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,HOFER Lukas,49,3,ITA,0+0,0,22:22.0
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,BOE Tarjei,2,6,NOR,1+0+1+0,2,29:12.5
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,DZHIMA Yuliia,47,5,UKR,0+0,0,18:41.6
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,DUNKLEE Susan,8,8,USA,0+0+1+0,1,28:26.5
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,PONSILUOMA Martin,10,14,SWE,0+2,2,23:34.5
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,SMOLSKI Anton,17,19,BLR,2+0+2+1,5,34:59.0
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,OEBERG Elvira,48,16,SWE,2+0+1+2,5,35:40.9
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,KNOTTEN Karoline Offigstad,20,21,NOR,2+1+1+2,6,36:28.9
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,PONSILUOMA Martin,9,22,SWE,3+1+2+0,6,37:37.4
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,ELISEEV Matvey,50,5,RUS,0+0 0+2,0+2,38:52.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,DOVZAN Miha,55,28,SLO,0+0+1+0,1,30:17.2
Men 15km Mass Start,Suedtirol Arena Alto Adige,2021-01-24T14:05:00Z,GARANICHEV Evgeniy,28,30,RUS,3+1+2+1,7,39:55.9
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,AUSTRIA,26,8,AUT,0+5 0+4,0+9,40:56.4
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,SWITZERLAND,41,9,SUI,0+6 0+3,0+9,1:18:55.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,TODEV Blagoy,98,98,BUL,2+2,4,29:28.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,LARDSCHNEIDER Irene,63,46,ITA,0+1,1,23:14.3
Men 12.5km Pursuit,Biathlon Stadium Kontiolahti,2020-12-05T12:20:00Z,NELIN Jesper,29,49,SWE,4+2+2+1,9,36:38.7
Women 4x6km Relay,Biathlon Stadium Kontiolahti,2020-12-05T14:15:00Z,DAVIDOVA Marketa,39,11,CZE,0+1 1+3,1+4,57:40.4
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,BAUER Klemen,29,12,SLO,0+3 1+3,1+6,59:50.0
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KOLOMIYETS Alina,96,86,KAZ,0+0+0+0,0,51:55.8
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,KRUPCIK Tomas,91,76,CZE,2+1+1+1,5,57:05.8
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,SOLA Hanna,22,13,BLR,1+1,2,19:14.6
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,HOFER Lukas,40,2,ITA,0+0 0+1,0+1,1:02:32.8
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,HERRMANN Denise,10,2,GER,1+0+0+0,1,27:52.0
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,JACQUELIN Emilien,16,4,FRA,0+0,0,22:29.9
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,GUIGONNAT Antonin,6,7,FRA,0+1+0+1,2,29:30.1
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,ALIMBEKAVA Dzinara,22,6,BLR,0+1,1,18:42.5
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,CHEVALIER-BOUCHET Anais,19,9,FRA,0+0+1+0,1,28:30.6
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,LANGER Thierry,49,15,BEL,0+0,0,23:37.6
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,REES Roman,10,20,GER,1+1+1+1,4,34:59.3
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,BRORSSON Mona,15,17,SWE,0+0+2+2,4,35:41.7
Women 12.5km Mass Start,Swedish National Biathlon Arena,2021-03-21T14:30:00Z,HAUSER Lisa Theresa,6,22,AUT,2+2+0+3,7,36:29.6
Men 15km Mass Start,Swedish National Biathlon Arena,2021-03-21T16:14:00Z,CLAUDE Fabien,16,23,FRA,3+0+1+2,6,37:39.4
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,FRANCE,1,6,FRA,0+8 2+6,2+14,39:00.7
Men 12.5km Pursuit,Vysocina Arena,2021-03-07T15:00:00Z,NAWRATH Philipp,53,29,GER,1+0+0+1,2,30:18.0
