description,location,start_time,name,start_order,result_order,nat,shooting,total,total_time
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,LESSER Erik,42,9,GER,0+1,1,25:02.4
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ZDOUC Dunja,96,34,AUT,0+0,0,22:48.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,MORAVEC Ondrej,30,10,CZE,0+0,0,25:05.6
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,PAVLOVA Evgeniya,60,35,RUS,2+0,2,22:49.1
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,HOFER Lukas,9,11,ITA,0+1,1,25:05.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ZUK Kamila,21,36,POL,1+0,1,22:51.2
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,LOGINOV Alexander,10,12,RUS,0+1,1,25:06.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,DAVIDOVA Marketa,1,37,CZE,2+1,3,22:52.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,DALE Johannes,19,13,NOR,1+1,2,25:07.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HERRMANN Denise,20,38,GER,0+3,3,22:52.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,WIERER Dorothea,23,1,ITA,0+0+0+0,0,44:00.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,ELISEEV Matvey,1,14,RUS,0+1,1,25:11.6
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,LUNDER Emma,27,39,CAN,1+0,1,22:52.7
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,HERRMANN Denise,18,2,GER,1+0+0+0,1,44:01.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BOE Tarjei,4,15,NOR,1+2,3,25:16.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ZBYLUT Kinga,47,40,POL,0+0,0,22:53.3
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,SKOTTHEIM Johanna,49,3,SWE,0+0+0+0,0,44:25.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,KRCMAR Michal,34,16,CZE,0+0,0,25:17.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,SEMERENKO Valentina,22,41,UKR,0+1,1,22:53.6
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,OEBERG Elvira,45,4,SWE,1+0+0+0,1,44:35.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,DESTHIEUX Simon,8,17,FRA,1+0,1,25:17.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,COLOMBO Caroline,102,42,FRA,0+2,2,22:53.7
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,PERSSON Linn,12,5,SWE,0+0+0+0,0,44:37.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,LAEGREID Sturla Holm,43,18,NOR,0+1,1,25:20.6
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ECKHOFF Tiril,3,43,NOR,3+0,3,22:54.1
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,BESCOND Anais,30,6,FRA,0+0+0+1,1,45:19.4
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,KUEHN Johannes,2,19,GER,0+1,1,25:21.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,BESCOND Anais,30,44,FRA,1+1,2,22:54.9
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,OEBERG Hanna,15,7,SWE,1+1+0+0,2,45:24.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,LATYPOV Eduard,5,20,RUS,0+1,1,25:24.4
